TRACE_BADAJOZ_PENR2009_V001
RASTER=/nuevos/FUGAWI/MAPAS/BADAJOZ 2_4.jpeg
RASTER_W=1536
RASTER_H=1170
PIXEL_DOMAIN=PIXEL_RASTER_ORIGINAL
CRS_ORIGEN=ED50_UTM_HUSO_29_30
CRS_DESTINO=ETRS89_UTM_HUSO_29_30
PENR2009_PATH=Repositorio:p92md87/Fugawi/PENR2009.gsb
PENR2009_BLOB_SHA=4bdfa4ddef1adc4a32f7daf0956fe65b91d4aafa
NODOS=126
CUADRILATEROS=104
CIERRE_INV_MAX_M=0.000000000
ID,E_ED50,N_ED50,HUSO,LAT_ED50,LON_ED50,LAT_ETRS89,LON_ETRS89,E_ETRS89,N_ETRS89,DLAT_ARCSEC,DLON_ARCSEC,CIERRE_INV_M
B04C09,300000.000,4360000.000,30,39.365659134462,-5.321455863124,39.364440863974,-5.322793202981,299890.310,4359793.713,-4.385773756,4.814423484,0.000000000
B04C10,320000.000,4360000.000,30,39.370058030065,-5.089462864773,39.368840502852,-5.090794713926,319890.242,4359793.501,-4.383097966,4.794656951,0.000000000
B04C11,340000.000,4360000.000,30,39.373994694869,-4.857421712462,39.372778938023,-4.858749145180,339890.083,4359793.405,-4.376724644,4.778757786,0.000000000
B04C12,360000.000,4360000.000,30,39.377468858806,-4.625337739024,39.376255542475,-4.626658435338,359890.122,4359793.381,-4.367938791,4.754506732,0.000000000
B04C13,369146.215,4360000.000,30,39.378903449599,-4.519190434169,39.377690181495,-4.520509886745,369036.194,4359793.255,-4.367765176,4.750029272,0.000000000
B05C00,656557.686,4340000.000,29,39.194502971666,-7.187171434437,39.193266630936,-7.188540700641,656435.127,4339786.968,-4.450826628,4.929358333,0.000000000
B05C01,660000.000,4340000.000,29,39.193876063291,-7.147331109604,39.192640158011,-7.148699291128,659877.437,4339786.964,-4.449259006,4.925453487,0.000000000
B05C02,680000.000,4340000.000,29,39.189964405936,-6.915882719818,39.188731152150,-6.917245018340,679877.379,4339786.957,-4.439713629,4.904274681,0.000000000
B05C03,700000.000,4340000.000,29,39.185593450810,-6.684482011735,39.184362051049,-6.685840213751,699877.166,4339786.858,-4.433039140,4.889527259,0.000000000
B05C04,720000.000,4340000.000,29,39.180763496572,-6.453134259166,39.179533711980,-6.454489229573,719876.877,4339786.732,-4.427224531,4.877893464,0.000000000
B05C05,740000.000,4340000.000,29,39.175474873100,-6.221844728313,39.174245991811,-6.223194636786,739876.746,4339786.531,-4.423972639,4.859670501,0.000000000
B05C06,759188.446,4340000.000,29,39.169970055155,-6.000000000000,39.168743640827,-6.001347844390,759064.818,4339786.509,-4.415091581,4.852239803,0.000000000
B05C07,260000.000,4340000.000,30,39.175474873100,-5.778155271687,39.174249722775,-5.779499706395,259890.476,4339794.081,-4.410541172,4.839964951,0.000000000
B05C08,280000.000,4340000.000,30,39.180763496572,-5.546865740834,39.179539645654,-5.548205328565,279890.359,4339793.932,-4.405863306,4.822515831,0.000000000
B05C09,300000.000,4340000.000,30,39.185593450810,-5.315517988265,39.184370236737,-5.316852106838,299890.292,4339793.708,-4.403570662,4.802826864,0.000000000
B05C10,320000.000,4340000.000,30,39.189964405936,-5.084117280182,39.188741293627,-5.085445644872,319890.247,4339793.426,-4.403204312,4.782112883,0.000000000
B05C11,340000.000,4340000.000,30,39.193876063291,-4.852668890396,39.192654965206,-4.853995398644,339889.868,4339793.364,-4.395953106,4.775429693,0.000000000
B05C12,360000.000,4340000.000,30,39.197328155497,-4.621178099571,39.196109813631,-4.622498346199,359889.868,4339793.378,-4.386030719,4.752887860,0.000000000
B05C13,368646.389,4340000.000,30,39.198678215797,-4.521088332587,39.197459874670,-4.522406610227,368536.190,4339793.253,-4.386028059,4.745799503,0.000000000
B06C00,657016.638,4320000.000,29,39.014291993635,-7.186482337451,39.013052208901,-7.187847006226,656894.159,4319787.155,-4.463225042,4.912807591,0.000000000
B06C01,660000.000,4320000.000,29,39.013751343501,-7.152041529614,39.012511838685,-7.153405307413,659877.514,4319787.142,-4.462217338,4.909600075,0.000000000
B06C02,680000.000,4320000.000,29,39.009864568036,-6.921180621563,39.008626797305,-6.922540073252,679877.324,4319787.031,-4.455974631,4.894026080,0.000000000
B06C03,700000.000,4320000.000,29,39.005521413166,-6.690366929814,39.004285917284,-6.691723051574,699877.045,4319786.980,-4.447785175,4.882038338,0.000000000
B06C04,720000.000,4320000.000,29,39.000722174583,-6.459605676882,38.999489072357,-6.460958937392,719876.721,4319786.940,-4.439168015,4.871737836,0.000000000
B06C05,740000.000,4320000.000,29,38.995467178894,-6.228902077805,38.994234673820,-6.230252082440,739876.436,4319786.702,-4.437018266,4.860016686,0.000000000
B06C06,759849.211,4320000.000,29,38.989801539747,-6.000000000000,38.988570637882,-6.001346235022,759725.405,4319786.579,-4.431246715,4.846446079,0.000000000
B06C07,260000.000,4320000.000,30,38.995467178894,-5.771097922195,38.994237332977,-5.772440126292,259890.374,4319794.100,-4.427445301,4.831934748,0.000000000
B06C08,280000.000,4320000.000,30,39.000722174583,-5.540394323118,38.999494103815,-5.541731922383,279890.238,4319794.006,-4.421054766,4.815357354,0.000000000
B06C09,300000.000,4320000.000,30,39.005521413166,-5.309633070186,39.004294212453,-5.310965710435,299890.129,4319793.811,-4.417922565,4.797504897,0.000000000
B06C10,320000.000,4320000.000,30,39.009864568036,-5.078819378437,39.008637249741,-5.080146444925,319890.068,4319793.507,-4.418345860,4.777439358,0.000000000
B06C11,340000.000,4320000.000,30,39.013751343501,-4.847958470386,39.012525372101,-4.849282578818,339889.783,4319793.370,-4.413497038,4.766790356,0.000000000
B06C12,360000.000,4320000.000,30,39.017181474838,-4.617055575284,39.015958286985,-4.618375968331,359889.565,4319793.392,-4.403476272,4.753414969,0.000000000
